Sun Mar 24 17:22:31 2024    prof.out

         1141209 function calls (1123906 primitive calls) in 2.888 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.008    0.000 dataclasses.py:528(_init_fn)
     7320    0.008    0.000    0.008    0.000 {method 'expandtabs' of 'str' objects}
       13    0.000    0.000    0.007    0.001 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.007    0.001 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
       44    0.003    0.000    0.007    0.000 __init__.py:350(namedtuple)
        1    0.000    0.000    0.007    0.007 _manager.py:1(<module>)
      170    0.000    0.000    0.007    0.000 <frozen abc>:105(__new__)
       46    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      418    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        2    0.000    0.000    0.007    0.003 version.py:1(<module>)
   306/12    0.001    0.000    0.007    0.001 core.py:776(_parseNoCache)
        1    0.000    0.000    0.007    0.007 _secondary_axes.py:1(<module>)
    72/12    0.000    0.000    0.007    0.001 core.py:3861(parseImpl)
        1    0.000    0.000    0.007    0.007 hmac.py:1(<module>)
      791    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      409    0.001    0.000    0.007    0.000 rcsetup.py:307(validate_color)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
     6310    0.004    0.000    0.006    0.000 typing.py:1252(_is_dunder)
      227    0.002    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      786    0.004    0.000    0.006    0.000 functools.py:35(update_wrapper)
    39702    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      899    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.006    0.006 _mathtext.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _array_like.py:1(<module>)
        1    0.000    0.000    0.006    0.006 font_manager.py:1564(_load_fontmanager)
     8006    0.005    0.000    0.006    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.006    0.006 cbook.py:1(<module>)
      111    0.000    0.000    0.006    0.000 rcsetup.py:88(f)
      420    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.006    0.006 transforms.py:1(<module>)
        1    0.000    0.000    0.006    0.006 bz2.py:1(<module>)
        1    0.000    0.000    0.006    0.006 pytester.py:1(<module>)
        1    0.000    0.000    0.006    0.006 backend_tools.py:1(<module>)
        1    0.000    0.000    0.006    0.006 platform.py:1(<module>)
     5666    0.003    0.000    0.006    0.000 _parser.py:261(get)
        5    0.000    0.000    0.006    0.001 __init__.py:108(import_module)
        5    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1192(_gcd_import)
        1    0.006    0.006    0.006    0.006 {built-in method mkl._py_mkl_service.get_version}
        2    0.000    0.000    0.006    0.003 compat.py:1(<module>)
        4    0.000    0.000    0.006    0.001 exceptions.py:1(<module>)
      794    0.002    0.000    0.006    0.000 typing.py:251(_collect_parameters)
       46    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.000    0.000    0.006    0.006 font_manager.py:970(json_load)
       18    0.001    0.000    0.006    0.000 typing.py:2891(__new__)
        9    0.000    0.000    0.006    0.001 core.py:5392(__init__)
        1    0.000    0.000    0.006    0.006 __init__.py:274(load)
      554    0.003    0.000    0.006    0.000 enum.py:365(__setitem__)
        1    0.000    0.000    0.006    0.006 tz.py:1(<module>)
        1    0.000    0.000    0.006    0.006 python.py:1(<module>)
     29/8    0.000    0.000    0.005    0.001 core.py:4379(leave_whitespace)
      196    0.003    0.000    0.005    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.005    0.005 py3k.py:1(<module>)
      418    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      412    0.000    0.000    0.005    0.000 colors.py:221(is_color_like)
     1710    0.001    0.000    0.005    0.000 typing.py:159(_type_convert)
      776    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       32    0.000    0.000    0.005    0.000 colors.py:1036(from_list)
 1384/463    0.004    0.000    0.005    0.000 _parser.py:178(getwidth)
      409    0.001    0.000    0.005    0.000 core.py:499(copy)
     2674    0.003    0.000    0.005    0.000 cbook.py:405(_strip_comment)
        1    0.000    0.000    0.005    0.005 parse.py:1(<module>)
      278    0.001    0.000    0.005    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.005    0.005 __init__.py:299(loads)
        1    0.000    0.000    0.005    0.005 decoder.py:332(decode)
        1    0.001    0.001    0.005    0.005 decoder.py:343(raw_decode)
        2    0.000    0.000    0.005    0.002 runner.py:1(<module>)
        1    0.000    0.000    0.005    0.005 charset.py:1(<module>)
     3487    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      241    0.000    0.000    0.005    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
       35    0.000    0.000    0.005    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.005    0.005 _tricontour.py:1(<module>)
      356    0.001    0.000    0.005    0.000 inspect.py:786(_finddoc)
      438    0.001    0.000    0.005    0.000 colors.py:268(to_rgba)
        1    0.000    0.000    0.005    0.005 _callers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
       18    0.000    0.000    0.005    0.000 rcsetup.py:662(cycler)
      173    0.005    0.000    0.005    0.000 {built-in method builtins.compile}
       18    0.000    0.000    0.005    0.000 typing.py:2872(_make_nmtuple)
      409    0.002    0.000    0.004    0.000 copy.py:66(copy)
        1    0.000    0.000    0.004    0.004 findpaths.py:1(<module>)
     55/8    0.000    0.000    0.004    0.001 core.py:3635(leave_whitespace)
       28    0.002    0.000    0.004    0.000 util.py:182(_collapse_string_to_ranges)
        1    0.000    0.000    0.004    0.004 version.py:159(Version)
       77    0.000    0.000    0.004    0.000 typing.py:1654(__getitem__)
    16958    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.004    0.001 core.py:2678(__init__)
       46    0.004    0.000    0.004    0.000 {built-in method nt.listdir}
     6825    0.004    0.000    0.004    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
    45/12    0.000    0.000    0.004    0.000 typing.py:1387(__getitem__)
        1    0.000    0.000    0.004    0.004 axes3d.py:42(Axes3D)
        1    0.000    0.000    0.004    0.004 units.py:1(<module>)
   114/57    0.000    0.000    0.004    0.000 core.py:3722(copy)
        1    0.000    0.000    0.004    0.004 structures.py:1(<module>)
      317    0.001    0.000    0.004    0.000 function_base.py:497(add_newdoc)
      447    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.004    0.004 dates.py:1(<module>)
      151    0.000    0.000    0.004    0.000 typing.py:852(__init__)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
       70    0.000    0.000    0.004    0.000 deprecation.py:257(rename_parameter)
       58    0.000    0.000    0.004    0.000 typing.py:492(__getitem__)
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
     1185    0.000    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
        1    0.001    0.001    0.004    0.004 simul.py:90(<listcomp>)
      439    0.001    0.000    0.004    0.000 font_manager.py:928(_json_decode)
        1    0.000    0.000    0.004    0.004 py.py:1(<module>)
       70    0.001    0.000    0.004    0.000 deprecation.py:128(deprecate)
        1    0.000    0.000    0.004    0.004 ImagePalette.py:1(<module>)
       50    0.000    0.000    0.003    0.000 typing.py:715(Literal)
      846    0.001    0.000    0.003    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.003    0.003 _afm.py:1(<module>)
      169    0.002    0.000    0.003    0.000 colors.py:310(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
     4432    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.003    0.003 hookspec.py:1(<module>)
     1185    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
       55    0.000    0.000    0.003    0.000 core.py:3643(<listcomp>)
        1    0.000    0.000    0.003    0.003 widgets.py:1(<module>)
      464    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
      468    0.001    0.000    0.003    0.000 __init__.py:178(sub)
   114/57    0.000    0.000    0.003    0.000 core.py:3724(<listcomp>)
        1    0.000    0.000    0.003    0.003 deprecated.py:1(<module>)
        2    0.000    0.000    0.003    0.002 polynomial.py:1(<module>)
      899    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
    31403    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
       22    0.000    0.000    0.003    0.000 core.py:4779(parseImpl)
      448    0.000    0.000    0.003    0.000 typing.py:1575(<genexpr>)
       10    0.000    0.000    0.003    0.000 dataclasses.py:599(_frozen_get_del_attr)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
      899    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      388    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        1    0.000    0.000    0.003    0.003 layout_engine.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
       25    0.000    0.000    0.003    0.000 dataclasses.py:624(_cmp_fn)
       65    0.001    0.000    0.003    0.000 typing.py:1811(__class_getitem__)
        3    0.000    0.000    0.003    0.001 _common.py:1(<module>)
       22    0.000    0.000    0.003    0.000 core.py:4956(parseImpl)
       46    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
 1642/216    0.000    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
      304    0.001    0.000    0.003    0.000 typing.py:320(_remove_dups_flatten)
     5481    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
      743    0.002    0.000    0.003    0.000 inspect.py:735(unwrap)
       78    0.001    0.000    0.003    0.000 inspect.py:3232(__str__)
 1642/216    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
       73    0.000    0.000    0.003    0.000 typing.py:1625(__getitem__)
        1    0.000    0.000    0.003    0.003 ExifTags.py:21(Base)
        6    0.000    0.000    0.003    0.000 enum.py:893(_convert_)
      452    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 capture.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _hooks.py:1(<module>)
    11472    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.003    0.001 core.py:5684(srange)
    45/12    0.000    0.000    0.003    0.000 typing.py:1419(_determine_new_args)
  266/157    0.000    0.000    0.003    0.000 core.py:1857(name)
    13471    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      454    0.001    0.000    0.003    0.000 enum.py:1515(__and__)
    45/12    0.000    0.000    0.003    0.000 typing.py:1448(_make_substitution)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
       46    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
  215/110    0.000    0.000    0.002    0.000 core.py:1832(default_name)
       26    0.000    0.000    0.002    0.000 deprecation.py:416(make_keyword_only)
      149    0.000    0.000    0.002    0.000 inspect.py:3040(replace)
     6551    0.002    0.000    0.002    0.000 enum.py:1093(__new__)
        1    0.000    0.000    0.002    0.002 _policybase.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      356    0.001    0.000    0.002    0.000 inspect.py:776(_findclass)
       42    0.000    0.000    0.002    0.000 core.py:2984(parseImpl)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
      512    0.000    0.000    0.002    0.000 __init__.py:163(match)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
     9589    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      449    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
      236    0.000    0.000    0.002    0.000 _parser.py:98(closegroup)
   256/18    0.000    0.000    0.002    0.000 ast.py:414(visit)
     3797    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
       46    0.000    0.000    0.002    0.000 typing.py:1639(__getitem_inner__)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
       67    0.000    0.000    0.002    0.000 colors.py:1089(reversed)
   256/18    0.001    0.000    0.002    0.000 ast.py:420(generic_visit)
    38/18    0.000    0.000    0.002    0.000 core.py:4373(parseImpl)
        1    0.000    0.000    0.002    0.002 warning_types.py:1(<module>)
       44    0.000    0.000    0.002    0.000 _base.py:66(__set_name__)
       62    0.000    0.000    0.002    0.000 core.py:1352(__add__)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
      651    0.002    0.000    0.002    0.000 inspect.py:167(get_annotations)
       14    0.000    0.000    0.002    0.000 core.py:595(set_parse_action)
       12    0.000    0.000    0.002    0.000 _docstring.py:57(<listcomp>)
        1    0.000    0.000    0.002    0.002 expression.py:1(<module>)
        1    0.000    0.000    0.002    0.002 terminal.py:1(<module>)
     25/6    0.000    0.000    0.002    0.000 core.py:3816(streamline)
